Area,Category,Fuel_Type,Year,Energy_Gen
NSW,renewable,Wind,2014-15,1376
NSW,renewable,Hydro,2014-15,1771
NSW,renewable,Large-scale solar PV,2014-15,60
NSW,renewable,Small-scale solar PV,2014-15,1211
VIC,non-renewable,Brown coal,2014-15,48337
VIC,non-renewable,Natural gas,2014-15,2391
VIC,non-renewable,Oil products,2014-15,156
VIC,renewable,Bagasse_wood,2014-15,252
VIC,renewable,Biogas,2014-15,420
VIC,renewable,Wind,2014-15,3068
VIC,renewable,Hydro,2014-15,2514
VIC,renewable,Large-scale solar PV,2014-15,9
VIC,renewable,Small-scale solar PV,2014-15,875
QLD,non-renewable,Black coal,2014-15,44554
QLD,non-renewable,Natural gas,2014-15,18249
QLD,non-renewable,Oil products,2014-15,1197
QLD,renewable,Bagasse_wood,2014-15,1550
QLD,renewable,Biogas,2014-15,91
QLD,renewable,Wind,2014-15,33
QLD,renewable,Hydro,2014-15,649
QLD,renewable,Large-scale solar PV,2014-15,6
QLD,renewable,Small-scale solar PV,2014-15,1788
QLD,renewable,Geothermal,2014-15,1
WA,non-renewable,Black coal,2014-15,10523
WA,non-renewable,Natural gas,2014-15,20413
WA,non-renewable,Oil products,2014-15,4224
WA,renewable,Biogas,2014-15,127
WA,renewable,Wind,2014-15,1643
WA,renewable,Hydro,2014-15,206
WA,renewable,Large-scale solar PV,2014-15,24
WA,renewable,Small-scale solar PV,2014-15,622
SA,non-renewable,Brown coal,2014-15,2634
SA,non-renewable,Natural gas,2014-15,5004
SA,non-renewable,Oil products,2014-15,197
SA,renewable,Biogas,2014-15,85
SA,renewable,Wind,2014-15,4292
SA,renewable,Hydro,2014-15,11
SA,renewable,Large-scale solar PV,2014-15,2
SA,renewable,Small-scale solar PV,2014-15,802
TAS,non-renewable,Natural gas,2014-15,131
TAS,non-renewable,Oil products,2014-15,19
TAS,renewable,Biogas,2014-15,35
TAS,renewable,Wind,2014-15,1055
TAS,renewable,Hydro,2014-15,8294
TAS,renewable,Large-scale solar PV,2014-15,0
TAS,renewable,Small-scale solar PV,2014-15,97
NT,non-renewable,Natural gas,2014-15,2201
NT,non-renewable,Oil products,2014-15,751
NT,renewable,Biogas,2014-15,9
NT,renewable,Large-scale solar PV,2014-15,6
NT,renewable,Small-scale solar PV,2014-15,29
All,non-renewable,Black coal,2015-16,114295
All,non-renewable,Brown coal,2015-16,48796
All,non-renewable,Natural gas,2015-16,50536
All,non-renewable,Oil products,2015-16,5656
All,renewable,Bagasse_wood,2015-16,2494
All,renewable,Biogas,2015-16,1296
All,renewable,Wind,2015-16,12200
All,renewable,Hydro,2015-16,15318
All,renewable,Large-scale solar PV,2015-16,457
All,renewable,Small-scale solar PV,2015-16,6381
All,renewable,Geothermal,2015-16,0
NSW,non-renewable,Black coal,2015-16,55335
NSW,non-renewable,Natural gas,2015-16,4629
NSW,non-renewable,Oil products,2015-16,290
NSW,renewable,Bagasse_wood,2015-16,602
NSW,renewable,Biogas,2015-16,445
NSW,renewable,Wind,2015-16,1899
NSW,renewable,Hydro,2015-16,3170
NSW,renewable,Large-scale solar PV,2015-16,400
NSW,renewable,Small-scale solar PV,2015-16,1462
VIC,non-renewable,Black coal,2015-16,32
VIC,non-renewable,Brown coal,2015-16,46202
VIC,non-renewable,Natural gas,2015-16,1892
VIC,non-renewable,Oil products,2015-16,71
VIC,renewable,Bagasse_wood,2015-16,235
VIC,renewable,Biogas,2015-16,512
